corroboration_run_id,station_id,channel,verdict,sustained_offset,tier,start_hour,end_hour,duration_hours,n_flagged_hours,full_period_covered_hours,full_period_median_residual,full_period_residual_mad,full_period_fraction_abs_residual_z_ge_3,median_offset_level,offset_stability_mad,mean_offset_score,peak_abs_offset_score,confirmed_offset_value,spatial_available_hours,spatial_median_residual,spatial_corroboration,resolved_episode_count,resolved_episode_ids
calibration_pressure_IMISRA13_01,IMISRA13,pressure,confirmed,True,HIGH,2026-02-11 14:00:00+00:00,2026-03-01 06:00:00+00:00,425.0,384,5811,-8.120000000000005,0.2799999999999727,0.0,-8.220000000000027,0.2599999999999909,-2.982662018478171,4.701863354037124,-8.220000000000027,422,-1.349999999999966,same_direction,0,
calibration_pressure_IMISRA13_02,IMISRA13,pressure,confirmed,True,HIGH,2026-04-02 18:00:00+00:00,2026-05-31 23:00:00+00:00,1422.0,1092,5811,-8.120000000000005,0.2799999999999727,0.0,-8.019999999999982,0.25,-2.9265553175712635,6.235772357722875,-8.019999999999982,1399,-5.080000000000041,same_direction,0,
calibration_pressure_IMISRA13_03,IMISRA13,pressure,confirmed,True,HIGH,2026-06-12 07:00:00+00:00,2026-06-30 23:00:00+00:00,449.0,449,5811,-8.120000000000005,0.2799999999999727,0.0,-7.75,0.20000000000004547,-3.823207477747914,5.819999999999936,-7.75,430,-4.409999999999968,same_direction,0,
,IMISRA13,temp,clean,False,,,,,0,5810,0.09999999999999964,0.7999999999999989,0.08622031919034644,,,,,,0,,unavailable,0,
,IMURQU5,dewpoint,clean,False,,,,,0,3939,1.5,1.7999999999999998,0.07417752948479206,,,,,,0,,unavailable,0,
,IMURQU5,pressure,clean,False,,,,,0,4289,-4.230000000000018,2.8899999999999864,0.21080627099664054,,,,,,0,,unavailable,0,
,IMURQU5,temp,clean,False,,,,,0,3939,0.7999999999999972,1.0000000000000018,0.09007689491028927,,,,,,0,,unavailable,0,
,IMURQU6,dewpoint,clean,False,,,,,0,3374,-0.6000000000000014,1.3000000000000025,0.07223903177004538,,,,,,0,,unavailable,0,
,IMURQU6,pressure,clean,False,,,,,0,3801,-4.659999999999968,4.419999999999959,0.3460771276595745,,,,,,0,,unavailable,0,
,IMURQU6,temp,clean,False,,,,,0,3374,-0.10000000000000142,0.8999999999999986,0.09116279069767441,,,,,,0,,unavailable,0,
,IMURQU7,dewpoint,clean,False,,,,,0,5461,-0.9000000000000004,1.3000000000000007,0.08729680915111379,,,,,,0,,unavailable,0,
